"","Territorio","Año","Fecha","Pollos","Panal","Edad","Vertebrado","ID","Juliano","Presa"
"64","CANTERA","2018",2018-07-31,"2","P",32,NA,"CANTERA 2018",212,"VESPULA"
"65","CANTERA","2018",2018-07-31,"2","G",32,NA,"CANTERA 2018",212,"VELUTINA"
"66","CANTERA","2018",2018-07-31,"2",NA,32,"AVE","CANTERA 2018",212,"AVE"
"67","CANTERA","2018",2018-07-31,"2","G",32,NA,"CANTERA 2018",212,"VELUTINA"
"68","CANTERA","2018",2018-08-01,"2","G",33,NA,"CANTERA 2018",213,"VELUTINA"
"69","CANTERA","2018",2018-08-01,"2","G",33,NA,"CANTERA 2018",213,"VELUTINA"
"70","CANTERA","2018",2018-08-01,"2","P",33,NA,"CANTERA 2018",213,"VESPULA"
"71","CANTERA","2018",2018-08-01,"2","P",33,NA,"CANTERA 2018",213,"VESPULA"
"72","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"73","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"74","FRAMIL","2018",2018-07-24,"2",NA,24,"REPTIL","FRAMIL 2018",205,"REPTIL"
"75","FRAMIL","2018",2018-07-24,"2","P",24,NA,"FRAMIL 2018",205,"VESPULA"
"76","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"77","FRAMIL","2018",2018-07-24,"2","P",24,NA,"FRAMIL 2018",205,"VESPULA"
"78","FRAMIL","2018",2018-07-24,"2",NA,24,"REPTIL","FRAMIL 2018",205,"REPTIL"
"79","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"80","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"81","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"82","FRAMIL","2018",2018-07-24,"2","G",24,NA,"FRAMIL 2018",205,"VELUTINA"
"83","FRAMIL","2018",2018-07-25,"2","P",25,NA,"FRAMIL 2018",206,"VESPULA"
"84","FRAMIL","2018",2018-07-25,"2",NA,25,"REPTIL","FRAMIL 2018",206,"REPTIL"
"85","FRAMIL","2018",2018-07-25,"2","G",25,NA,"FRAMIL 2018",206,"VELUTINA"
"86","FRAMIL","2018",2018-07-25,"2",NA,25,"REPTIL","FRAMIL 2018",206,"REPTIL"
"87","FRAMIL","2018",2018-07-25,"2","G",25,NA,"FRAMIL 2018",206,"VELUTINA"
"88","FRAMIL","2018",2018-07-25,"2","G",25,NA,"FRAMIL 2018",206,"VELUTINA"
"89","FRAMIL","2018",2018-07-25,"2","P",25,NA,"FRAMIL 2018",206,"VESPULA"
"90","FRAMIL","2018",2018-07-26,"2","G",26,NA,"FRAMIL 2018",207,"VELUTINA"
"91","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"92","FRAMIL","2018",2018-07-26,"2",NA,26,"REPTIL","FRAMIL 2018",207,"REPTIL"
"93","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"94","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"95","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"96","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"97","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"98","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"99","FRAMIL","2018",2018-07-26,"2","P",26,NA,"FRAMIL 2018",207,"VESPULA"
"100","FRAMIL","2018",2018-07-27,"2","G",27,NA,"FRAMIL 2018",208,"VELUTINA"
"101","FRAMIL","2018",2018-07-27,"2","P",27,NA,"FRAMIL 2018",208,"VESPULA"
"102","FRAMIL","2018",2018-07-27,"2","G",27,NA,"FRAMIL 2018",208,"VELUTINA"
"103","FRAMIL","2018",2018-07-27,"2","G",27,NA,"FRAMIL 2018",208,"VELUTINA"
"104","FRAMIL","2018",2018-07-27,"2",NA,27,"REPTIL","FRAMIL 2018",208,"REPTIL"
"105","FRAMIL","2018",2018-07-27,"2","P",27,NA,"FRAMIL 2018",208,"VESPULA"
"106","FRAMIL","2018",2018-07-27,"2","G",27,NA,"FRAMIL 2018",208,"VELUTINA"
"107","FRAMIL","2018",2018-07-28,"2","P",28,NA,"FRAMIL 2018",209,"VESPULA"
"108","FRAMIL","2018",2018-07-28,"2","G",28,NA,"FRAMIL 2018",209,"VELUTINA"
"109","FRAMIL","2018",2018-07-28,"2","G",28,NA,"FRAMIL 2018",209,"VELUTINA"
"110","FRAMIL","2018",2018-07-28,"2","P",28,NA,"FRAMIL 2018",209,"VESPULA"
"111","FRAMIL","2018",2018-07-28,"2","G",28,NA,"FRAMIL 2018",209,"VELUTINA"
"112","FRAMIL","2018",2018-07-28,"2","G",28,NA,"FRAMIL 2018",209,"VELUTINA"
"113","FRAMIL","2018",2018-07-28,"2","P",28,NA,"FRAMIL 2018",209,"VESPULA"
"114","FRAMIL","2018",2018-07-28,"2","P",28,NA,"FRAMIL 2018",209,"VESPULA"
"115","FRAMIL","2018",2018-07-29,"2","P",29,NA,"FRAMIL 2018",210,"VESPULA"
"116","FRAMIL","2018",2018-07-29,"2",NA,29,"REPTIL","FRAMIL 2018",210,"REPTIL"
"117","FRAMIL","2018",2018-07-29,"2","P",29,NA,"FRAMIL 2018",210,"VESPULA"
"118","FRAMIL","2018",2018-07-29,"2",NA,29,"REPTIL","FRAMIL 2018",210,"REPTIL"
"119","FRAMIL","2018",2018-07-29,"2","G",29,NA,"FRAMIL 2018",210,"VELUTINA"
"120","FRAMIL","2018",2018-07-29,"2",NA,29,"REPTIL","FRAMIL 2018",210,"REPTIL"
"121","FRAMIL","2018",2018-07-29,"2","P",29,NA,"FRAMIL 2018",210,"VESPULA"
"122","FRAMIL","2018",2018-07-29,"2","P",29,NA,"FRAMIL 2018",210,"VESPULA"
"123","FRAMIL","2018",2018-07-29,"2",NA,29,"REPTIL","FRAMIL 2018",210,"REPTIL"
"124","FRAMIL","2018",2018-07-29,"2","P",29,NA,"FRAMIL 2018",210,"VESPULA"
"125","FRAMIL","2018",2018-07-29,"2","G",29,NA,"FRAMIL 2018",210,"VELUTINA"
"126","FRAMIL","2018",2018-07-29,"2","G",29,NA,"FRAMIL 2018",210,"VELUTINA"
"127","NORES","2018",2018-07-30,"1","G",25,NA,"NORES 2018",211,"VELUTINA"
"128","NORES","2018",2018-07-30,"1","G",25,NA,"NORES 2018",211,"VELUTINA"
"129","NORES","2018",2018-07-30,"1","G",25,NA,"NORES 2018",211,"VELUTINA"
"130","NORES","2018",2018-07-31,"1","P",26,NA,"NORES 2018",212,"VESPULA"
"131","NORES","2018",2018-07-31,"1","P",26,NA,"NORES 2018",212,"VESPULA"
"132","NORES","2018",2018-07-31,"1","P",26,NA,"NORES 2018",212,"VESPULA"
"133","NORES","2018",2018-07-31,"1",NA,26,"REPTIL","NORES 2018",212,"REPTIL"
"134","NORES","2018",2018-07-31,"1","G",26,NA,"NORES 2018",212,"VELUTINA"
"135","NORES","2018",2018-07-31,"1","G",26,NA,"NORES 2018",212,"VELUTINA"
"136","NORES","2018",2018-08-01,"1","G",27,NA,"NORES 2018",213,"VELUTINA"
"137","NORES","2018",2018-08-01,"1","P",27,NA,"NORES 2018",213,"VESPULA"
"138","NORES","2018",2018-08-01,"1","P",27,NA,"NORES 2018",213,"VESPULA"
"139","NORES","2018",2018-08-01,"1","P",27,NA,"NORES 2018",213,"VESPULA"
"140","NORES","2018",2018-08-02,"1","P",28,NA,"NORES 2018",214,"VESPULA"
"141","NORES","2018",2018-08-02,"1","P",28,NA,"NORES 2018",214,"VESPULA"
"142","NORES","2018",2018-08-02,"1","P",28,NA,"NORES 2018",214,"VESPULA"
"143","NORES","2018",2018-08-02,"1","P",28,NA,"NORES 2018",214,"VESPULA"
"144","NORES","2018",2018-08-04,"1","G",30,NA,"NORES 2018",216,"VELUTINA"
