"","ID","Juliano","Edad","Tamaño","Pollos","Año","MediaCeldi"
"87","CANTERA 2018",205,25,"Common-wasp","2","2018",548.600617133118
"88","CANTERA 2018",206,26,"Asian-hornet","2","2018",106.421451140354
"89","CANTERA 2018",206,26,"Common-wasp","2","2018",683.29640215578
"90","CANTERA 2018",207,27,"Asian-hornet","2","2018",75.7909227678538
"91","CANTERA 2018",207,27,"Common-wasp","2","2018",431.968989868597
"92","CANTERA 2018",208,28,"Common-wasp","2","2018",409.977841293468
"93","CANTERA 2018",209,29,"Asian-hornet","2","2018",89.5353906273091
"94","CANTERA 2018",209,29,"Common-wasp","2","2018",331.752184219082
"95","CANTERA 2018",210,30,"Asian-hornet","2","2018",121.108396795887
"96","CANTERA 2018",210,30,"Common-wasp","2","2018",401.001862283211
"97","CANTERA 2018",211,31,"Asian-hornet","2","2018",84.8230016469244
"98","CANTERA 2018",211,31,"Common-wasp","2","2018",448.776510565302
"99","CANTERA 2018",212,32,"Asian-hornet","2","2018",81.9432083811338
"100","CANTERA 2018",212,32,"Common-wasp","2","2018",240.724537081318
"101","CANTERA 2018",213,33,"Asian-hornet","2","2018",109.955742875643
"102","CANTERA 2018",213,33,"Common-wasp","2","2018",461.028721914302
"103","CANTERA 2019",199,17,"Common-wasp","2","2019",442.493325258122
"104","CANTERA 2019",200,18,"Common-wasp","2","2019",300.283897805624
"105","CANTERA 2019",201,19,"Common-wasp","2","2019",178.59954235658
"106","CARBALLO 2021",195,23,"Common-wasp","2","2021",326.837835710967
"107","CARBALLO 2021",196,24,"Asian-hornet","2","2021",354.345471386149
"108","CARBALLO 2021",196,24,"Common-wasp","2","2021",272.729512239764
"109","CARBALLO 2021",197,25,"Common-wasp","2","2021",472.896960827864
"110","CARBALLO 2021",198,26,"Asian-hornet","2","2021",184.72564803108
"111","CARBALLO 2021",199,27,"Asian-hornet","2","2021",146.280407932775
"112","CARBALLO 2021",200,28,"Asian-hornet","2","2021",282.743338823081
"113","CARBALLO 2021",200,28,"Common-wasp","2","2021",516.137493046023
"114","CARBALLO 2021",201,29,"Asian-hornet","2","2021",127.391582103066
"115","CARBALLO 2021",201,29,"Common-wasp","2","2021",250.542014123786
"116","CARBALLO 2021",202,30,"Asian-hornet","2","2021",251.327412287183
"117","CARBALLO 2021",202,30,"Common-wasp","2","2021",146.084058391925
